,time,thscode,latest
0,2023-02-06 15:59:56,688599.SH,65.89
1,2023-02-06 15:59:55,603986.SH,114.39
2,2023-02-06 16:00:10,603799.SH,64.75
3,2023-02-06 15:59:51,603501.SH,92.37
4,2023-02-06 15:59:46,603288.SH,78.6
5,2023-02-06 15:59:58,603260.SH,93.96
6,2023-02-06 15:59:51,603259.SH,91.44
7,2023-02-06 15:59:52,601995.SH,39.77
8,2023-02-06 15:59:57,601919.SH,10.68
9,2023-02-06 16:00:04,601899.SH,11.39
10,2023-02-06 16:00:01,601888.SH,206.16
11,2023-02-06 15:59:53,601857.SH,5.15
12,2023-02-06 15:59:46,601688.SH,12.69
13,2023-02-06 15:59:53,601669.SH,6.97
14,2023-02-06 16:00:07,601668.SH,5.4
15,2023-02-06 16:00:03,601633.SH,31.5
16,2023-02-06 15:59:44,601628.SH,33.49
17,2023-02-06 16:00:07,601601.SH,25.54
18,2023-02-06 15:59:41,601398.SH,4.29
19,2023-02-06 15:59:56,601318.SH,48.16
20,2023-02-06 16:00:10,601288.SH,2.92
21,2023-02-06 15:59:51,601225.SH,19.09
22,2023-02-06 15:59:54,601166.SH,17.15
23,2023-02-06 15:59:58,601088.SH,28.12
24,2023-02-06 15:59:41,601066.SH,26.5
25,2023-02-06 15:59:49,601012.SH,46.4
26,2023-02-06 16:00:09,600905.SH,5.72
27,2023-02-06 15:59:54,600900.SH,20.98
28,2023-02-06 15:59:50,600893.SH,45.87
29,2023-02-06 15:59:54,600887.SH,31.12
30,2023-02-06 15:59:57,600809.SH,281.35
31,2023-02-06 15:59:45,600745.SH,59.04
32,2023-02-06 16:00:08,600690.SH,25.49
33,2023-02-06 15:59:57,600585.SH,28.64
34,2023-02-06 15:59:41,600519.SH,1795.0
35,2023-02-06 15:59:40,600438.SH,40.75
36,2023-02-06 15:59:45,600436.SH,299.22
37,2023-02-06 15:59:51,600406.SH,26.02
38,2023-02-06 15:59:54,600346.SH,17.11
39,2023-02-06 15:59:51,600309.SH,99.19
40,2023-02-06 15:59:55,600276.SH,42.49
41,2023-02-06 16:00:05,600196.SH,33.65
42,2023-02-06 15:59:49,600111.SH,29.38
43,2023-02-06 15:59:55,600104.SH,14.85
44,2023-02-06 15:59:48,600048.SH,15.02
45,2023-02-06 15:59:56,600036.SH,38.35
46,2023-02-06 15:59:43,600031.SH,16.48
47,2023-02-06 16:00:05,600030.SH,20.85
48,2023-02-06 16:00:07,600028.SH,4.49
49,2023-02-06 15:59:53,600010.SH,2.05
