#Name,Addr,Area,Signal_name,OP,ResetValue,Autoclear,Clockdomain
UARTDR,0x000,[15:12],reserved,RO,0x0,,
,,[11:11],OE,RW,0x0,,
,,[10:10],BE,RW,0x0,,
,,[9:9],PE,RW,0x0,,
,,[8:8],FE,RW,0x0,,
,,[7:0],DATA,RW,0x0,,
UARTRSR,0x004,[15:4],reserved,RO,0x0,,
,,[3:3],OE,RW,0x0,,
,,[2:2],BE,RW,0x0,,
,,[1:1],PE,RW,0x0,,
,,[0:0],FE,RW,0x0,,
UARTFR,0x018,[15:9],reserved,RO,0x0,,
,,[8:8],RI,RO,0x1,,
,,[7:7],TXFE,RO,0x1,,
,,[6:6],RXFE,RO,0x0,,
,,[5:5],TXFF,RO,0x0,,
,,[4:4],RXFF,RO,0x1,,
,,[3:3],BUSY,RO,0x0,,
,,[2:2],DCD,RO,0x1,,
,,[1:1],DSR,RO,0x1,,
,,[0:0],CTS,RO,0x1,,
UARTIBRD,0x024,[15:0],BAUD_DIVINT,RW,0x0,,
UARTFBRD,0x028,[15:0],BAUD_DIVERAC,RW,0x0,,
UARTLLCR_H,0x02c,[15:8],reserved,RO,0x0,,
,,[7:7],SPS,RW,0x0,,
,,[6:5],WLEN,RW,0x0,,
,,[4:4],FEN,RW,0x0,,
,,[3:3],STP2,RW,0x0,,
,,[2:2],EPS,RW,0x0,,
,,[1:1],PEN,RW,0x0,,
,,[0:0],BRK,RW,0x0,,
UARTCR,0x030,[15:15],CTSEn,RW,0x0,,
,,[14:14],RTSEn,RW,0x0,,
,,[13:13],Out2,RW,0x0,,
,,[12:12],Out1,RW,0x0,,
,,[11:11],RTS,RW,0x0,,
,,[10:10],DTR,RW,0x0,,
,,[9:9],RXE,RW,0x1,,
,,[8:8],TXE,RW,0x1,,
,,[7:7],LBE,RW,0x0,,
,,[6:3],reserved,RO,0x0,,
,,[2:2],SIRLP,RW,0x0,,
,,[1:1],SIREN,RW,0x0,,
,,[0:0],UARTEN,RW,0x0,,
UARTIFLS,0x034,[15:6],reserved,RO,0x0,,
,,[5:3],RXIFLSEL,RW,0x2,,
,,[2:0],TXIFLSEL,RW,0x2,,
UARTIMSC,0x038,[15:11],reserved,RO,0x0,,
,,[10:10],OEIM,RW,0x0,,
,,[9:9],BEIM,RW,0x0,,
,,[8:8],PEIM,RW,0x0,,
,,[7:7],FEIM,RW,0x0,,
,,[6:6],RTIM,RW,0x0,,
,,[5:5],TXIM,RW,0x0,,
,,[4:4],RXIM,RW,0x0,,
,,[3:3],DSRMIM,RW,0x0,,
,,[2:2],DCDMIM,RW,0x0,,
,,[1:1],CTSRMIM,RW,0x0,,
,,[0:0],RIRMIM,RW,0x0,,
UARTRIS,0x03c,[15:11],reserved,RO,0x0,,
,,[10:10],OERIS,RO,0x0,,
,,[9:9],BERIS,RO,0x0,,
,,[8:8],PERIS,RO,0x0,,
,,[7:7],FERIS,RO,0x0,,
,,[6:6],RTRIS,RO,0x0,,
,,[5:5],TXRIS,RO,0x0,,
,,[4:4],RXRIS,RO,0x0,,
,,[3:3],DSRRMIS,RO,0x0,,
,,[2:2],DCDRMIS,RO,0x0,,
,,[1:1],CTSRMIS,RO,0x0,,
,,[0:0],RIRMIS,RO,0x1,,
UARTMIS,0x040,[15:11],reserved,RO,0x0,,
,,[10:10],OEMIS,RO,0x0,,
,,[9:9],BEMIS,RO,0x0,,
,,[8:8],PEMIS,RO,0x0,,
,,[7:7],FEMIS,RO,0x0,,
,,[6:6],RTMIS,RO,0x0,,
,,[5:5],TXMIS,RO,0x0,,
,,[4:4],RXMIS,RO,0x0,,
,,[3:3],DSRMMIS,RO,0x0,,
,,[2:2],DCDMMIS,RO,0x0,,
,,[1:1],CTSMMIS,RO,0x0,,
,,[0:0],RIMMIS,RO,0x0,,
UARTICR,0x044,[15:11],reserved,RO,0x0,,
,,[10:10],OEIC,WO,0x0,,
,,[9:9],BEIC,WO,0x0,,
,,[8:8],PEIC,WO,0x0,,
,,[7:7],FEIC,WO,0x0,,
,,[6:6],RTIC,WO,0x0,,
,,[5:5],TXIC,WO,0x0,,
,,[4:4],RXIC,WO,0x0,,
,,[3:3],DSRMIC,WO,0x0,,
,,[2:2],DCDMIC,WO,0x0,,
,,[1:1],CTSMIC,WO,0x1,,
,,[0:0],RIMIC,WO,0x1,,
